match_id,barca_played,home_team,away_team,match_date,season
266406,True,Villarreal,Barcelona,2014-08-31,2014/2015
267085,True,Real Madrid,Barcelona,2014-10-25,2014/2015
267561,True,Rayo Vallecano,Barcelona,2014-10-04,2014/2015
266148,True,Barcelona,Málaga,2015-02-21,2014/2015
266045,True,Barcelona,Real Sociedad,2015-05-09,2014/2015
70303,True,Barcelona,Atlético Madrid,2015-01-11,2014/2015
266240,True,Real Sociedad,Barcelona,2015-01-04,2014/2015
267597,True,Barcelona,Villarreal,2015-02-01,2014/2015
266794,True,Elche,Barcelona,2015-01-24,2014/2015
267343,True,Granada,Barcelona,2015-02-28,2014/2015
266631,True,Atlético Madrid,Barcelona,2015-05-17,2014/2015
266320,True,Barcelona,Espanyol,2014-12-07,2014/2015
266230,True,Deportivo La Coruna,Barcelona,2015-01-18,2014/2015
266525,True,Barcelona,Valencia,2015-04-18,2014/2015
266560,True,Valencia,Barcelona,2014-11-30,2014/2015
266846,True,Barcelona,Córdoba,2014-12-20,2014/2015
266531,True,Espanyol,Barcelona,2015-04-25,2014/2015
266921,True,Barcelona,Elche,2014-08-24,2014/2015
267499,True,Almería,Barcelona,2014-11-08,2014/2015
266741,True,Barcelona,Levante,2015-02-15,2014/2015
266871,True,Athletic Bilbao,Barcelona,2015-02-08,2014/2015
266967,True,Eibar,Barcelona,2015-03-14,2014/2015
266929,True,Celta Vigo,Barcelona,2015-04-05,2014/2015
266770,True,Levante,Barcelona,2014-09-21,2014/2015
266142,True,Sevilla,Barcelona,2015-04-11,2014/2015
267368,True,Barcelona,Real Betis,2014-04-05,2013/2014
70301,True,Barcelona,Sevilla,2013-09-14,2013/2014
70298,True,Valencia,Barcelona,2013-09-01,2013/2014
70302,True,Rayo Vallecano,Barcelona,2013-09-21,2013/2014
70291,True,Barcelona,Málaga,2014-01-26,2013/2014
267138,True,Granada,Barcelona,2014-04-12,2013/2014
267520,True,Barcelona,Real Sociedad,2013-09-24,2013/2014
70289,True,Villarreal,Barcelona,2014-04-27,2013/2014
266066,True,Barcelona,Almería,2014-03-02,2013/2014
267675,True,Sevilla,Barcelona,2014-02-09,2013/2014
70288,True,Levante,Barcelona,2014-01-19,2013/2014
266074,True,Barcelona,Osasuna,2014-03-16,2013/2014
267567,True,Barcelona,Athletic Bilbao,2014-04-20,2013/2014
266201,True,Elche,Barcelona,2014-05-11,2013/2014
266274,True,Barcelona,Celta Vigo,2014-03-26,2013/2014
70293,True,Barcelona,Real Madrid,2013-10-26,2013/2014
265918,True,Barcelona,Rayo Vallecano,2014-02-15,2013/2014
70277,True,Barcelona,Levante,2013-08-18,2013/2014
70283,True,Barcelona,Espanyol,2013-11-01,2013/2014
70306,True,Espanyol,Barcelona,2014-03-29,2013/2014
266256,True,Barcelona,Atlético Madrid,2014-05-17,2013/2014
266613,True,Barcelona,Valencia,2014-02-01,2013/2014
266491,True,Barcelona,Getafe,2014-05-03,2013/2014
265830,True,Atlético Madrid,Barcelona,2014-01-11,2013/2014
265857,True,Real Madrid,Barcelona,2014-03-23,2013/2014
266883,True,Real Betis,Barcelona,2013-11-10,2013/2014
266603,True,Real Valladolid,Barcelona,2014-03-08,2013/2014
265837,True,Real Sociedad,Barcelona,2014-02-22,2013/2014
266462,True,Osasuna,Barcelona,2013-10-19,2013/2014
267192,True,Celta Vigo,Barcelona,2013-10-29,2013/2014
266420,True,Almería,Barcelona,2013-09-28,2013/2014
266015,True,Real Valladolid,Barcelona,2012-12-22,2012/2013
70270,True,Barcelona,Granada,2012-09-22,2012/2013
70281,True,Barcelona,Real Betis,2013-05-05,2012/2013
70308,True,Barcelona,Celta Vigo,2012-11-03,2012/2013
70282,True,Valencia,Barcelona,2013-02-03,2012/2013
266724,True,Mallorca,Barcelona,2012-11-11,2012/2013
70272,True,Real Madrid,Barcelona,2013-03-02,2012/2013
70304,True,Deportivo La Coruna,Barcelona,2012-10-20,2012/2013
70280,True,Levante,Barcelona,2012-11-25,2012/2013
70296,True,Barcelona,Atlético Madrid,2012-12-16,2012/2013
70297,True,Barcelona,Getafe,2013-02-10,2012/2013
266433,True,Barcelona,Espanyol,2013-01-06,2012/2013
70256,True,Celta Vigo,Barcelona,2013-03-30,2012/2013
70259,True,Barcelona,Real Sociedad,2012-08-19,2012/2013
70260,True,Barcelona,Osasuna,2013-01-27,2012/2013
70263,True,Barcelona,Athletic Bilbao,2012-12-01,2012/2013
70276,True,Rayo Vallecano,Barcelona,2012-10-27,2012/2013
70287,True,Real Sociedad,Barcelona,2013-01-19,2012/2013
70284,True,Atlético Madrid,Barcelona,2013-05-12,2012/2013
70275,True,Sevilla,Barcelona,2012-09-29,2012/2013
70286,True,Barcelona,Valencia,2012-09-02,2012/2013
70309,True,Barcelona,Real Zaragoza,2012-11-17,2012/2013
70300,True,Barcelona,Real Madrid,2012-10-07,2012/2013
70295,True,Real Betis,Barcelona,2012-12-09,2012/2013
70307,True,Barcelona,Rayo Vallecano,2013-03-17,2012/2013
70305,True,Barcelona,Deportivo La Coruna,2013-03-09,2012/2013
266827,True,Málaga,Barcelona,2013-01-13,2012/2013
267502,True,Athletic Bilbao,Barcelona,2013-04-27,2012/2013
70271,True,Barcelona,Sevilla,2013-02-23,2012/2013
70294,True,Granada,Barcelona,2013-02-16,2012/2013
70262,True,Osasuna,Barcelona,2012-08-26,2012/2013
70292,True,Getafe,Barcelona,2012-09-15,2012/2013
69328,True,Barcelona,Valencia,2012-02-19,2011/2012
69329,True,Barcelona,Sevilla,2011-10-22,2011/2012
70219,True,Real Zaragoza,Barcelona,2012-04-07,2011/2012
69331,True,Barcelona,Real Zaragoza,2011-11-19,2011/2012
69337,True,Atlético Madrid,Barcelona,2012-02-26,2011/2012
69322,True,Racing Santander,Barcelona,2012-03-11,2011/2012
69316,True,Barcelona,Real Sociedad,2012-02-04,2011/2012
69332,True,Barcelona,Rayo Vallecano,2011-11-29,2011/2012
69335,True,Málaga,Barcelona,2012-01-22,2011/2012
69330,True,Athletic Bilbao,Barcelona,2011-11-06,2011/2012
69297,True,Barcelona,Atlético Madrid,2011-09-24,2011/2012
69325,True,Mallorca,Barcelona,2012-03-24,2011/2012
69324,True,Barcelona,Real Madrid,2012-04-21,2011/2012
70225,True,Barcelona,Granada,2012-03-20,2011/2012
69293,True,Barcelona,Racing Santander,2011-10-15,2011/2012
70223,True,Valencia,Barcelona,2011-09-21,2011/2012
69333,True,Barcelona,Levante,2011-12-03,2011/2012
69264,True,Real Sociedad,Barcelona,2011-09-10,2011/2012
69343,True,Barcelona,Getafe,2012-04-10,2011/2012
69340,True,Barcelona,Málaga,2012-05-02,2011/2012
69265,True,Sporting Gijón,Barcelona,2011-10-02,2011/2012
69319,True,Real Betis,Barcelona,2012-05-12,2011/2012
69334,True,Real Madrid,Barcelona,2011-12-10,2011/2012
69327,True,Barcelona,Real Betis,2012-01-15,2011/2012
69315,True,Getafe,Barcelona,2011-11-26,2011/2012
69336,True,Osasuna,Barcelona,2012-02-11,2011/2012
69326,True,Sevilla,Barcelona,2012-03-17,2011/2012
69268,True,Barcelona,Villarreal,2011-08-29,2011/2012
69320,True,Barcelona,Espanyol,2012-05-05,2011/2012
69312,True,Espanyol,Barcelona,2012-01-08,2011/2012
69314,True,Barcelona,Mallorca,2011-10-29,2011/2012
69318,True,Granada,Barcelona,2011-10-25,2011/2012
69338,True,Villarreal,Barcelona,2012-01-28,2011/2012
70220,True,Barcelona,Osasuna,2011-09-17,2011/2012
70224,True,Rayo Vallecano,Barcelona,2012-04-29,2011/2012
70221,True,Levante,Barcelona,2012-04-14,2011/2012
69323,True,Barcelona,Athletic Bilbao,2012-03-31,2011/2012
69276,True,Barcelona,Atlético Madrid,2011-02-05,2010/2011
69304,True,Villarreal,Barcelona,2011-04-02,2010/2011
69307,True,Osasuna,Barcelona,2010-12-04,2010/2011
69271,True,Barcelona,Osasuna,2011-04-23,2010/2011
69305,True,Barcelona,Almería,2011-04-09,2010/2011
69278,True,Barcelona,Málaga,2011-01-16,2010/2011
69275,True,Espanyol,Barcelona,2010-12-18,2010/2011
69295,True,Barcelona,Racing Santander,2011-01-22,2010/2011
69270,True,Getafe,Barcelona,2010-11-07,2010/2011
69303,True,Barcelona,Getafe,2011-03-19,2010/2011
69245,True,Real Madrid,Barcelona,2011-04-16,2010/2011
69287,True,Barcelona,Hércules,2010-09-11,2010/2011
69296,True,Hércules,Barcelona,2011-01-29,2010/2011
69260,True,Barcelona,Valencia,2010-10-16,2010/2011
69269,True,Atlético Madrid,Barcelona,2010-09-19,2010/2011
69246,True,Real Sociedad,Barcelona,2011-04-30,2010/2011
69302,True,Barcelona,Real Sociedad,2010-12-12,2010/2011
69282,True,Barcelona,Athletic Bilbao,2011-02-20,2010/2011
69274,True,Valencia,Barcelona,2011-03-02,2010/2011
69283,True,Mallorca,Barcelona,2011-02-26,2010/2011
69280,True,Deportivo La Coruna,Barcelona,2011-01-08,2010/2011
69286,True,Racing Santander,Barcelona,2010-08-29,2010/2011
69291,True,Sevilla,Barcelona,2011-03-13,2010/2011
69236,True,Barcelona,Mallorca,2010-10-03,2010/2011
69234,True,Barcelona,Espanyol,2011-05-08,2010/2011
69272,True,Levante,Barcelona,2011-05-11,2010/2011
69308,True,Barcelona,Villarreal,2010-11-13,2010/2011
69299,True,Barcelona,Real Madrid,2010-11-29,2010/2011
69300,True,Barcelona,Real Zaragoza,2011-03-05,2010/2011
69289,True,Barcelona,Sevilla,2010-10-30,2010/2011
69263,True,Real Zaragoza,Barcelona,2010-10-23,2010/2011
69306,True,Almería,Barcelona,2010-11-20,2010/2011
69248,True,Sporting Gijón,Barcelona,2011-02-12,2010/2011
69243,True,Barcelona,Sevilla,2010-01-16,2009/2010
